tradingClass,symbol,exchange,ex_symbol,data_symbol,hold_cycle,priced_cycle,roll_offset,expiry_offset,carry_offset,open,close,session,description
FSMX,MDAX,EUREX,FSMX,FSMX,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Midcap DAX
Y2,Y,ICEEU,Y2,Y2,HMUZ,HMUZ,-5,15,1,08:00,21:00,21,FTSE 250 Index
FEF,SCI,SGX,FEF,FEF,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-60,27,-1,00:25,12:00,6,SGX TSI Iron Ore Futures
MICRO,FTMIB,IDEM,MINI,ISP,HMUZ,HMUZ,-5,20,1,07:45,21:00,21,FTSE MIB Index
FTMIB,FTMIB,IDEM,MINI,ISP,HMUZ,HMUZ,-5,20,1,07:45,21:00,21,FTSE MIB Index
FCE,CAC40,MONEP,FCE,PIL,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,20,1,18:35,21:00,21,CAC 40
MFC,CAC40,MONEP,FCE,PIL,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,20,1,18:35,21:00,21,CAC 40
SGP,SSG,SGX,SGP,ZG,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,27,1,10:50,15:59,16,MSCI Singapore Free Index
TWN,TWN,SGX,TWN,TWN,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-10,15,1,07:15,15:59,16,FTSE Taiwan RIC Capped Price Return TWD Index
225MC,N225MC,OSE|JPN,225MC,JNK,HMUZ,FGHJKMNQUVXZ,-5,14,1,08:30,14:59,15,Nikkei 225 Micro
225M,N225M,OSE|JPN,225M,JNK,HMUZ,FGHJKMNQUVXZ,-5,14,1,08:30,14:59,15,Nikkei 225 Mini
TPXM,MNTPX,OSE|JPN,TPXM,JTPX,HMUZ,HMUZ,-5,14,1,08:30,14:59,15,Mini Topix
FDXM,DAX,EUREX,FDXS,DD,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,DAX 40 Index (Deutsche Aktien Xchange 40)
MINI,FTMIB,IDEM,MINI,ISP,HMUZ,HMUZ,-5,20,1,07:45,21:00,21,FTSE MIB Index
FEDV,DJSD,EUREX,FEDV,FEDV,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones Euro STOXX Select Dividend 30 Index
FOAT,OAT,EUREX,FOAT,FOAT,HMUZ,HMUZ,-5,6,1,01:15,21:05,21,Euro-OAT French Government Bond
FSMS,SMI,EUREX,FSMI,SW,HMUZ,HMUZ,-5,14,1,08:00,21:00,21,Swiss Market Index
CGB,CGB,CDE,CGB,CB,HMUZ,HMUZ,-20,15,1,06:00,21:30,21,10 Year Government of Canada Bonds
SXF,TSE60,CDE,SXF,TP,HMUZ,HMUZ,-5,14,1,15:30,21:30,21,S&P Canada 60 Index Futures (Old TSE60)
SXM,TSE60,CDE,SXF,TP,HMUZ,HMUZ,-5,14,1,15:30,21:30,21,S&P Canada 60 Index Futures (Old TSE60)
FSTY,SX8P,EUREX,FSTY,STY,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Technology
FSTA,SXAP,EUREX,FSTA,FSTA,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Automobiles & Parts
FSMI,SMI,EUREX,FSMI,SW,HMUZ,HMUZ,-5,14,1,08:00,21:00,21,Swiss Market Index
FSTO,SX3P,EUREX,FSTO,FSTO,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Food & Beverage Index
FGBL,GBL,EUREX,FGBL,DB,HMUZ,HMUZ,-5,6,1,01:15,21:05,21,Euro Bund (10 Year Bond)
FGBM,GBM,EUREX,FGBM,DL,HMUZ,HMUZ,-5,6,1,01:15,21:05,21,Euro Bobl (5 Year Bond)
FGBS,GBS,EUREX,FGBS,DG,HMUZ,HMUZ,-5,6,1,01:15,21:05,21,Euro Schatz (2 Year Bond)
FVS,V2TX,EUREX,FVS,FVS,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-60,19,-1,01:15,21:00,21,VSTOXX Volatility Index
FSTI,SXIP,EUREX,FSTI,FSTI,HMUZ,HMUZ,-10,18,1,08:00,21:05,21,Dow Jones STOXX 600 Insurance
FSTL,SX86P,EUREX,FSTL,FSTL,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Real Estate
